id:INT,name:STRING,category:STRING,supplier_id:INT
152,Product152,Category56,144
153,Product153,Category25,92
154,Product154,Category39,20
155,Product155,Electronics,211
156,Product156,Category76,429
157,Product157,Category35,77
158,Product158,Category78,297
159,Product159,Category41,374
160,Product160,Toys,92
161,Product161,Category48,474
162,Product162,Electronics,315
163,Product163,Home,431
164,Product164,Category70,343
165,Product165,Category48,78
166,Product166,Category81,499
167,Product167,Category79,62
168,Product168,Category79,98
169,Product169,Category64,91
170,Product170,Category63,432
171,Product171,Category32,324
172,Product172,Category55,246
173,Product173,Category63,436
174,Product174,Category42,158
175,Product175,Grocery,265
176,Product176,Garden,8
177,Product177,Category47,370
178,Product178,Category46,235
179,Product179,Category71,420
180,Product180,Category36,185
181,Product181,Category29,208
182,Product182,Category63,425
183,Product183,Category53,326
184,Product184,Category35,474
185,Product185,Category83,294
186,Product186,Category75,200
187,Product187,Category46,467
188,Product188,Electronics,189
189,Product189,Category27,141
190,Product190,Electronics,235
191,Product191,Electronics,219
192,Product192,Books,98
193,Product193,Garden,316
194,Product194,Garden,201
195,Product195,Category51,35
196,Product196,Category25,237
197,Product197,Category73,331
198,Product198,Category33,465
199,Product199,Category38,57
200,Product200,Category67,368
201,Product201,Category31,100
202,Product202,Category60,431
203,Product203,Category33,214
204,Product204,Category26,75
205,Product205,Category60,482
206,Product206,Movies,8
207,Product207,Category36,470
208,Product208,Category38,430
209,Product209,Toys,497
210,Product210,Movies,419
211,Product211,Electronics,356
212,Product212,Category36,316
213,Product213,Category40,197
214,Product214,Beauty,318
215,Product215,Electronics,211
216,Product216,Category68,385
217,Product217,Tools,223
218,Product218,Garden,304
219,Product219,Category37,459
220,Product220,Garden,96
221,Product221,Category25,45
222,Product222,Category58,67
223,Product223,Category65,208
224,Product224,Software,27
225,Product225,Category70,152
226,Product226,Electronics,413
227,Product227,Category31,31
228,Product228,Category38,438
229,Product229,Category28,275
230,Product230,Category83,381
231,Product231,Electronics,170
232,Product232,Category48,54
233,Product233,Electronics,406
234,Product234,Home,22
235,Product235,Category79,391
236,Product236,Music,202
237,Product237,Category21,151
238,Product238,Jewelry,381
239,Product239,Category45,15
240,Product240,Category73,321
241,Product241,Pet Supplies,150
242,Product242,Category32,186
243,Product243,Clothing,187
244,Product244,Electronics,291
245,Product245,Category28,95
246,Product246,Electronics,13
247,Product247,Category59,361
248,Product248,Movies,455
249,Product249,Category44,17
250,Product250,Category20,38
251,Product251,Category60,17
252,Product252,Category29,111
253,Product253,Sports,420
254,Product254,Electronics,404
255,Product255,Tools,50
256,Product256,Category65,312
257,Product257,Category59,163
258,Product258,Electronics,260
259,Product259,Category81,207
260,Product260,Category50,477
261,Product261,Movies,268
262,Product262,Automotive,305
263,Product263,Category71,102
264,Product264,Electronics,147
265,Product265,Category63,384
266,Product266,Category65,392
267,Product267,Category44,455
268,Product268,Books,269
269,Product269,Category72,3
270,Product270,Category70,7
271,Product271,Category33,33
272,Product272,Category37,165
273,Product273,Category69,391
274,Product274,Category63,318
275,Product275,Books,85
276,Product276,Home,292
277,Product277,Books,68
278,Product278,Category81,184
279,Product279,Category51,12
280,Product280,Category47,269
281,Product281,Category75,14
282,Product282,Category25,57
283,Product283,Category62,203
284,Product284,Clothing,114
285,Product285,Category25,490
286,Product286,Category57,304
287,Product287,Category76,420
288,Product288,Category81,48
289,Product289,Category27,104
290,Product290,Category60,56
291,Product291,Category59,446
292,Product292,Category47,488
293,Product293,Category54,114
294,Product294,Category48,38
295,Product295,Category58,293
296,Product296,Category37,278
297,Product297,Category45,475
298,Product298,Category25,223
299,Product299,Sports,63
300,Product300,Pet Supplies,3
301,Product301,Category64,314
302,Product302,Category80,194
303,Product303,Category86,260
304,Product304,Garden,293
305,Product305,Category67,246
306,Product306,Electronics,450
307,Product307,Category68,443
308,Product308,Grocery,93
309,Product309,Category33,427
310,Product310,Category26,311
311,Product311,Category84,226
312,Product312,Electronics,169
313,Product313,Electronics,139
314,Product314,Category66,418
315,Product315,Category33,186
316,Product316,Category36,19
317,Product317,Category42,486
318,Product318,Category67,24
319,Product319,Category36,301
320,Product320,Category40,362
321,Product321,Category31,315
322,Product322,Category36,71
323,Product323,Category46,191
324,Product324,Home,356
325,Product325,Category36,82
326,Product326,Category60,249
327,Product327,Electronics,191
328,Product328,Jewelry,144
329,Product329,Electronics,371
330,Product330,Category71,73
331,Product331,Category39,132
332,Product332,Category86,103
333,Product333,Category57,26
334,Product334,Category28,185
335,Product335,Category31,462
336,Product336,Category74,344
337,Product337,Category54,333
338,Product338,Category76,478
339,Product339,Category43,191
340,Product340,Category52,193
341,Product341,Category35,248
342,Product342,Category81,367
343,Product343,Category52,363
344,Product344,Toys,13
345,Product345,Category56,105
346,Product346,Category47,388
347,Product347,Category58,72
348,Product348,Category51,289
349,Product349,Category57,152
350,Product350,Electronics,2
351,Product351,Pet Supplies,18
352,Product352,Electronics,237
353,Product353,Category51,159
354,Product354,Electronics,327
355,Product355,Category35,334
356,Product356,Category32,279
357,Product357,Category45,246
358,Product358,Health,56
359,Product359,Category72,216
360,Product360,Category50,226
361,Product361,Category62,243
362,Product362,Category43,66
363,Product363,Category64,169
364,Product364,Clothing,413
365,Product365,Category50,275
366,Product366,Category46,298
367,Product367,Electronics,219
368,Product368,Category38,356
369,Product369,Category47,127
370,Product370,Books,13
371,Product371,Category29,468
372,Product372,Category39,311
373,Product373,Electronics,176
374,Product374,Category30,11
375,Product375,Category65,395
376,Product376,Category62,494
377,Product377,Category28,90
378,Product378,Home,410
379,Product379,Category28,390
380,Product380,Tools,365
381,Product381,Garden,77
382,Product382,Category84,266
383,Product383,Category57,310
384,Product384,Category68,135
385,Product385,Category62,468
386,Product386,Pet Supplies,404
387,Product387,Category26,164
388,Product388,Category46,203
389,Product389,Health,138
390,Product390,Category40,31
391,Product391,Category51,175
392,Product392,Health,411
393,Product393,Garden,298
394,Product394,Category75,401
395,Product395,Category37,192
396,Product396,Office,102
397,Product397,Category24,101
398,Product398,Electronics,232
399,Product399,Category27,327
400,Product400,Garden,33
401,Product401,Category54,458
402,Product402,Category83,411
403,Product403,Category40,122
404,Product404,Category60,78
405,Product405,Category66,264
406,Product406,Category74,274
407,Product407,Category36,89
408,Product408,Category33,109
409,Product409,Category66,91
410,Product410,Category27,280
411,Product411,Category39,130
412,Product412,Category64,487
413,Product413,Electronics,224
414,Product414,Shoes,219
415,Product415,Automotive,324
416,Product416,Category44,317
417,Product417,Category71,459
418,Product418,Category59,240
419,Product419,Category72,179
420,Product420,Category49,500
421,Product421,Electronics,114
422,Product422,Category46,131
423,Product423,Health,422
424,Product424,Electronics,463
425,Product425,Books,295
426,Product426,Garden,306
427,Product427,Category42,263
428,Product428,Beauty,49
429,Product429,Category26,276
430,Product430,Category47,94
431,Product431,Shoes,417
432,Product432,Pet Supplies,283
433,Product433,Home,459
434,Product434,Electronics,96
435,Product435,Electronics,73
436,Product436,Category73,77
437,Product437,Category50,22
438,Product438,Category85,191
439,Product439,Category22,178
440,Product440,Garden,175
441,Product441,Electronics,107
442,Product442,Garden,397
443,Product443,Category81,366
444,Product444,Category27,125
445,Product445,Category52,128
446,Product446,Baby,480
447,Product447,Category32,320
448,Product448,Category58,105
449,Product449,Category63,92
450,Product450,Category27,206
451,Product451,Beauty,92
452,Product452,Category23,302
453,Product453,Category44,329
454,Product454,Music,304
455,Product455,Category58,278
456,Product456,Category57,83
457,Product457,Electronics,268
458,Product458,Category27,359
459,Product459,Category40,218
460,Product460,Category43,335
461,Product461,Electronics,306
462,Product462,Garden,77
463,Product463,Category53,133
464,Product464,Category76,30
465,Product465,Sports,231
466,Product466,Category46,299
467,Product467,Software,73
468,Product468,Category28,123
469,Product469,Movies,272
470,Product470,Electronics,123
471,Product471,Category47,308
472,Product472,Category63,70
473,Product473,Category71,47
474,Product474,Category44,431
475,Product475,Category72,458
476,Product476,Category80,244
477,Product477,Garden,69
478,Product478,Category69,164
479,Product479,Clothing,377
480,Product480,Sports,450
481,Product481,Jewelry,110
482,Product482,Toys,133
483,Product483,Category21,188
484,Product484,Electronics,30
485,Product485,Category85,102
486,Product486,Category84,374
487,Product487,Category38,376
488,Product488,Shoes,131
489,Product489,Category25,313
490,Product490,Category64,359
491,Product491,Category70,367
492,Product492,Grocery,35
493,Product493,Category44,421
494,Product494,Category59,58
495,Product495,Category71,105
496,Product496,Beauty,497
497,Product497,Category48,423
498,Product498,Category45,452
499,Product499,Category33,310
500,Product500,Category61,118
501,Product501,Electronics,423
502,Product502,Jewelry,319
503,Product503,Category68,228
504,Product504,Category65,162
505,Product505,Category49,332
506,Product506,Category68,70
507,Product507,Sports,51
508,Product508,Office,20
509,Product509,Category60,376
510,Product510,Category81,210
511,Product511,Category77,77
512,Product512,Garden,210
513,Product513,Category38,354
514,Product514,Beauty,337
515,Product515,Category68,116
516,Product516,Category25,336
517,Product517,Category44,134
518,Product518,Category72,43
519,Product519,Category68,231
520,Product520,Electronics,177
521,Product521,Category48,13
522,Product522,Electronics,286
523,Product523,Electronics,299
524,Product524,Electronics,484
525,Product525,Category55,22
526,Product526,Category78,72
527,Product527,Category81,404
528,Product528,Software,141
529,Product529,Category75,19
530,Product530,Books,245
531,Product531,Category20,248
532,Product532,Category24,97
533,Product533,Category55,182
534,Product534,Electronics,390
535,Product535,Category66,456
536,Product536,Category74,450
537,Product537,Category74,387
538,Product538,Category84,322
539,Product539,Electronics,9
540,Product540,Baby,30
541,Product541,Category85,352
542,Product542,Category33,147
543,Product543,Category68,412
544,Product544,Category21,218
545,Product545,Category82,6
546,Product546,Category44,494
547,Product547,Category22,412
548,Product548,Grocery,139
549,Product549,Category69,242
550,Product550,Category65,269
551,Product551,Category82,471
552,Product552,Category43,250
553,Product553,Category81,341
554,Product554,Category50,59
555,Product555,Category43,189
556,Product556,Category86,419
557,Product557,Home,10
558,Product558,Category45,330
559,Product559,Category59,29
560,Product560,Baby,484
561,Product561,Category22,121
562,Product562,Books,141
563,Product563,Category61,80
564,Product564,Category46,27
565,Product565,Category29,125
566,Product566,Category60,463
567,Product567,Category74,167
568,Product568,Category47,294
569,Product569,Category74,308
570,Product570,Category33,161
571,Product571,Category75,453
572,Product572,Category35,359
573,Product573,Shoes,362
574,Product574,Category75,237
575,Product575,Category36,124
576,Product576,Category77,38
577,Product577,Electronics,399
578,Product578,Category56,182
579,Product579,Category22,59
580,Product580,Category84,154
581,Product581,Electronics,71
582,Product582,Baby,193
583,Product583,Electronics,139
584,Product584,Category67,446
585,Product585,Category55,289
586,Product586,Category34,333
587,Product587,Category52,314
588,Product588,Category32,452
589,Product589,Electronics,487
590,Product590,Toys,495
591,Product591,Category33,360
592,Product592,Category49,129
593,Product593,Category85,451
594,Product594,Category52,330
595,Product595,Category26,37
596,Product596,Category68,393
597,Product597,Category27,282
598,Product598,Category68,454
599,Product599,Category36,38
600,Product600,Category51,179
601,Product601,Category24,39
602,Product602,Category44,37
603,Product603,Category59,38
604,Product604,Category34,383
605,Product605,Home,91
606,Product606,Category66,110
607,Product607,Pet Supplies,129
608,Product608,Category84,311
609,Product609,Category24,64
610,Product610,Category58,384
611,Product611,Category42,341
612,Product612,Tools,91
613,Product613,Category75,38
614,Product614,Category81,19
615,Product615,Category33,365
616,Product616,Category50,403
617,Product617,Category55,398
618,Product618,Category29,126
619,Product619,Office,481
620,Product620,Category51,236
621,Product621,Automotive,134
622,Product622,Category23,317
623,Product623,Clothing,255
624,Product624,Category75,280
625,Product625,Category41,262
626,Product626,Category28,238
627,Product627,Category55,14
628,Product628,Electronics,118
629,Product629,Pet Supplies,197
630,Product630,Category58,498
631,Product631,Electronics,60
632,Product632,Category78,361
633,Product633,Category43,214
634,Product634,Baby,429
635,Product635,Category44,85
636,Product636,Electronics,322
637,Product637,Music,151
638,Product638,Electronics,213
639,Product639,Category50,483
640,Product640,Beauty,372
641,Product641,Category82,297
642,Product642,Automotive,88
643,Product643,Category33,442
644,Product644,Category78,428
645,Product645,Category78,3
646,Product646,Toys,368
647,Product647,Category29,488
648,Product648,Category30,471
649,Product649,Category56,68
650,Product650,Category28,137
651,Product651,Category53,360
652,Product652,Category80,355
653,Product653,Office,35
654,Product654,Electronics,312
655,Product655,Books,414
656,Product656,Category52,478
657,Product657,Baby,27
658,Product658,Automotive,397
659,Product659,Beauty,90
660,Product660,Category76,2
661,Product661,Category81,467
662,Product662,Category64,410
663,Product663,Grocery,328
664,Product664,Garden,185
665,Product665,Automotive,309
666,Product666,Category27,5
667,Product667,Category65,149
668,Product668,Category84,169
669,Product669,Category84,153
670,Product670,Category63,268
671,Product671,Category78,94
672,Product672,Category62,97
673,Product673,Category34,155
674,Product674,Category52,72
675,Product675,Category66,425
676,Product676,Category43,123
677,Product677,Category27,454
678,Product678,Category52,116
679,Product679,Category44,123
680,Product680,Category31,2
681,Product681,Category58,142
682,Product682,Electronics,500
683,Product683,Category34,157
684,Product684,Toys,231
685,Product685,Category21,473
686,Product686,Category66,459
687,Product687,Electronics,407
688,Product688,Category85,136
689,Product689,Category85,269
690,Product690,Jewelry,481
691,Product691,Grocery,381
692,Product692,Category68,421
693,Product693,Grocery,391
694,Product694,Category57,3
695,Product695,Category27,491
696,Product696,Category48,216
697,Product697,Category39,135
698,Product698,Software,373
699,Product699,Electronics,310
700,Product700,Category80,234
701,Product701,Category60,109
702,Product702,Category24,281
703,Product703,Category23,115
704,Product704,Category74,6
705,Product705,Category51,345
706,Product706,Category22,476
707,Product707,Category67,277
708,Product708,Category75,49
709,Product709,Category28,179
710,Product710,Jewelry,413
711,Product711,Category52,427
712,Product712,Electronics,496
713,Product713,Category76,14
714,Product714,Category80,330
715,Product715,Category70,10
716,Product716,Category20,351
717,Product717,Sports,306
718,Product718,Category74,97
719,Product719,Category68,337
720,Product720,Category21,371
721,Product721,Category35,346
722,Product722,Category80,114
723,Product723,Category75,153
724,Product724,Baby,95
725,Product725,Category51,252
726,Product726,Category86,134
727,Product727,Category79,413
728,Product728,Category72,143
729,Product729,Category63,407
730,Product730,Category73,142
731,Product731,Category86,210
732,Product732,Garden,275
733,Product733,Toys,278
734,Product734,Category33,297
735,Product735,Category31,91
736,Product736,Tools,81
737,Product737,Category54,276
738,Product738,Category73,41
739,Product739,Category27,398
740,Product740,Category34,220
741,Product741,Toys,127
742,Product742,Category26,35
743,Product743,Category31,277
744,Product744,Electronics,314
745,Product745,Category69,115
746,Product746,Electronics,273
747,Product747,Category34,427
748,Product748,Category57,145
749,Product749,Electronics,280
750,Product750,Electronics,126
751,Product751,Automotive,262
752,Product752,Category82,365
753,Product753,Category68,206
754,Product754,Category53,266
755,Product755,Category52,432
756,Product756,Grocery,355
757,Product757,Office,317
758,Product758,Category75,247
759,Product759,Category59,177
760,Product760,Category71,146
761,Product761,Category45,247
762,Product762,Health,157
763,Product763,Books,399
764,Product764,Category76,92
765,Product765,Category54,243
766,Product766,Category45,48
767,Product767,Category47,191
768,Product768,Jewelry,397
769,Product769,Category44,230
770,Product770,Automotive,379
771,Product771,Category83,389
772,Product772,Category20,265
773,Product773,Shoes,460
774,Product774,Category70,440
775,Product775,Category31,468
776,Product776,Category56,144
777,Product777,Category47,395
778,Product778,Baby,199
779,Product779,Category61,407
780,Product780,Category64,162
781,Product781,Category57,308
782,Product782,Books,431
783,Product783,Category64,7
784,Product784,Category39,189
785,Product785,Category24,367
786,Product786,Category32,216
787,Product787,Category54,325
788,Product788,Category50,255
789,Product789,Category44,380
790,Product790,Category20,332
791,Product791,Category25,249
792,Product792,Category63,403
793,Product793,Category28,278
794,Product794,Category40,38
795,Product795,Category64,242
796,Product796,Category69,375
797,Product797,Automotive,465
798,Product798,Garden,26
799,Product799,Category70,164
800,Product800,Electronics,139
801,Product801,Category41,439
802,Product802,Category64,15
803,Product803,Category22,358
804,Product804,Category51,468
805,Product805,Category29,263
806,Product806,Beauty,86
807,Product807,Category73,77
808,Product808,Books,472
809,Product809,Category72,14
810,Product810,Category73,373
811,Product811,Category27,393
812,Product812,Category82,156
813,Product813,Category80,222
814,Product814,Category23,203
815,Product815,Category78,474
816,Product816,Category81,205
817,Product817,Category80,371
818,Product818,Category44,450
819,Product819,Category51,453
820,Product820,Category79,396
821,Product821,Category39,332
822,Product822,Category52,246
823,Product823,Category30,308
824,Product824,Category81,174
825,Product825,Category25,450
826,Product826,Electronics,81
827,Product827,Category84,103
828,Product828,Category85,349
829,Product829,Electronics,353
830,Product830,Home,123
831,Product831,Category49,271
832,Product832,Category77,87
833,Product833,Category30,266
834,Product834,Category46,374
835,Product835,Electronics,480
836,Product836,Category22,130
837,Product837,Category76,244
838,Product838,Category27,372
839,Product839,Category29,46
840,Product840,Category63,160
841,Product841,Electronics,348
842,Product842,Category85,274
843,Product843,Category55,386
844,Product844,Category53,97
845,Product845,Category35,398
846,Product846,Category80,226
847,Product847,Category56,220
848,Product848,Category47,128
849,Product849,Category20,362
850,Product850,Baby,28
851,Product851,Beauty,171
852,Product852,Category73,152
853,Product853,Electronics,382
854,Product854,Category70,120
855,Product855,Electronics,58
856,Product856,Category41,474
857,Product857,Category75,464
858,Product858,Category26,495
859,Product859,Software,453
860,Product860,Category24,100
861,Product861,Category83,239
862,Product862,Electronics,97
863,Product863,Category38,444
864,Product864,Category32,452
865,Product865,Health,48
866,Product866,Movies,209
867,Product867,Category71,37
868,Product868,Category28,393
869,Product869,Electronics,432
870,Product870,Tools,425
871,Product871,Shoes,431
872,Product872,Category33,22
873,Product873,Category33,168
874,Product874,Category45,358
875,Product875,Category52,4
876,Product876,Category32,401
877,Product877,Category71,415
878,Product878,Category51,472
879,Product879,Category26,262
880,Product880,Category50,284
881,Product881,Category30,387
882,Product882,Category55,146
883,Product883,Category26,54
884,Product884,Movies,279
885,Product885,Category41,63
886,Product886,Category65,454
887,Product887,Toys,65
888,Product888,Electronics,31
889,Product889,Grocery,403
890,Product890,Electronics,260
891,Product891,Category47,446
892,Product892,Category29,376
893,Product893,Category22,49
894,Product894,Category55,62
895,Product895,Tools,231
896,Product896,Electronics,91
897,Product897,Category76,269
898,Product898,Category77,465
899,Product899,Category62,233
900,Product900,Category23,183
901,Product901,Office,466
902,Product902,Category72,289
903,Product903,Category45,414
904,Product904,Category26,167
905,Product905,Category60,21
906,Product906,Category20,475
907,Product907,Electronics,173
908,Product908,Category31,346
909,Product909,Clothing,219
910,Product910,Shoes,341
911,Product911,Category58,260
912,Product912,Category55,471
913,Product913,Category81,255
914,Product914,Category69,456
915,Product915,Category86,268
916,Product916,Category37,62
917,Product917,Category24,109
918,Product918,Category28,204
919,Product919,Category45,190
920,Product920,Pet Supplies,249
921,Product921,Category55,226
922,Product922,Category63,276
923,Product923,Category64,127
924,Product924,Category23,109
925,Product925,Category65,18
926,Product926,Category83,41
927,Product927,Category68,258
928,Product928,Category26,182
929,Product929,Category76,205
930,Product930,Electronics,311
931,Product931,Category63,123
932,Product932,Category33,44
933,Product933,Category50,23
934,Product934,Category59,268
935,Product935,Pet Supplies,269
936,Product936,Electronics,368
937,Product937,Category45,24
938,Product938,Category23,213
939,Product939,Electronics,33
940,Product940,Category76,323
941,Product941,Category65,342
942,Product942,Category47,439
943,Product943,Sports,431
944,Product944,Category63,89
945,Product945,Category38,412
946,Product946,Category75,94
947,Product947,Category50,222
948,Product948,Category59,115
949,Product949,Category58,53
950,Product950,Category28,87
951,Product951,Toys,462
952,Product952,Category37,259
953,Product953,Category39,217
954,Product954,Category76,291
955,Product955,Category85,31
956,Product956,Category61,326
957,Product957,Automotive,63
958,Product958,Beauty,405
959,Product959,Category59,83
960,Product960,Category38,200
961,Product961,Category70,454
962,Product962,Electronics,402
963,Product963,Category56,327
964,Product964,Category62,221
965,Product965,Category53,474
966,Product966,Category44,166
967,Product967,Category44,385
968,Product968,Category55,245
969,Product969,Electronics,482
970,Product970,Category61,10
971,Product971,Category51,499
972,Product972,Category70,229
973,Product973,Category82,275
974,Product974,Category55,429
975,Product975,Category76,301
976,Product976,Clothing,457
977,Product977,Category82,252
978,Product978,Category50,368
979,Product979,Pet Supplies,344
980,Product980,Category52,3
981,Product981,Tools,301
982,Product982,Category25,399
983,Product983,Category40,498
984,Product984,Category78,156
985,Product985,Home,157
986,Product986,Electronics,286
987,Product987,Category49,112
988,Product988,Category27,23
989,Product989,Category25,122
990,Product990,Office,177
991,Product991,Category35,90
992,Product992,Category34,76
993,Product993,Category66,9
994,Product994,Category77,35
995,Product995,Category27,4
996,Product996,Category60,53
997,Product997,Category56,452
998,Product998,Category33,15
999,Product999,Category33,295
1000,Product1000,Books,391
1001,Product1001,Category62,203
1002,Product1002,Category41,249
1003,Product1003,Shoes,384
1004,Product1004,Office,265
1005,Product1005,Electronics,266
1006,Product1006,Category24,337
1007,Product1007,Electronics,461
1008,Product1008,Clothing,243
1009,Product1009,Category32,178
1010,Product1010,Category67,309
1011,Product1011,Category69,388
1012,Product1012,Category86,276
1013,Product1013,Beauty,449
1014,Product1014,Category35,36
1015,Product1015,Category51,15
1016,Product1016,Category23,344
1017,Product1017,Category86,316
1018,Product1018,Electronics,247
1019,Product1019,Grocery,439
1020,Product1020,Category67,441
1021,Product1021,Category58,267
1022,Product1022,Books,352
1023,Product1023,Sports,389
1024,Product1024,Category24,126
1025,Product1025,Garden,463
1026,Product1026,Category63,416
1027,Product1027,Category30,336
1028,Product1028,Category25,322
1029,Product1029,Category31,159
1030,Product1030,Category84,111
1031,Product1031,Category69,386
1032,Product1032,Category28,42
1033,Product1033,Category74,460
1034,Product1034,Beauty,464
1035,Product1035,Category33,397
1036,Product1036,Category68,331
1037,Product1037,Category32,419
1038,Product1038,Toys,125
1039,Product1039,Category45,120
1040,Product1040,Category57,41
1041,Product1041,Category60,278
1042,Product1042,Category83,420
1043,Product1043,Automotive,34
1044,Product1044,Category55,288
1045,Product1045,Category77,419
1046,Product1046,Category43,464
1047,Product1047,Category75,296
1048,Product1048,Electronics,312
1049,Product1049,Category41,265
1050,Product1050,Electronics,215
1051,Product1051,Category82,457
1052,Product1052,Category40,286
1053,Product1053,Category57,26
1054,Product1054,Category63,431
1055,Product1055,Health,491
1056,Product1056,Category85,473
1057,Product1057,Category69,445
1058,Product1058,Sports,311
1059,Product1059,Category61,106
1060,Product1060,Category74,123
1061,Product1061,Music,359
1062,Product1062,Shoes,41
1063,Product1063,Category20,168
1064,Product1064,Category25,390
1065,Product1065,Category56,153
1066,Product1066,Category69,277
1067,Product1067,Category39,38
1068,Product1068,Electronics,105
1069,Product1069,Category77,205
1070,Product1070,Category72,332
1071,Product1071,Electronics,122
1072,Product1072,Category69,439
1073,Product1073,Category72,73
1074,Product1074,Category24,442
1075,Product1075,Category59,229
1076,Product1076,Category25,116
1077,Product1077,Automotive,119
1078,Product1078,Category35,157
1079,Product1079,Category46,190
1080,Product1080,Category65,70
1081,Product1081,Sports,213
1082,Product1082,Category40,422
1083,Product1083,Category63,481
1084,Product1084,Category44,107
1085,Product1085,Category47,330
1086,Product1086,Category81,84
1087,Product1087,Category38,242
1088,Product1088,Category36,344
1089,Product1089,Electronics,204
1090,Product1090,Category67,441
1091,Product1091,Category70,276
1092,Product1092,Category32,462
1093,Product1093,Category80,456
1094,Product1094,Category74,212
1095,Product1095,Clothing,375
1096,Product1096,Category78,99
1097,Product1097,Category77,120
1098,Product1098,Electronics,218
1099,Product1099,Category47,297
1100,Product1100,Category46,42
1101,Product1101,Category82,451
1102,Product1102,Category80,279
1103,Product1103,Electronics,69
1104,Product1104,Category65,336
1105,Product1105,Category29,436
1106,Product1106,Category68,396
1107,Product1107,Category56,380
1108,Product1108,Sports,394
1109,Product1109,Category25,156
1110,Product1110,Category81,242
1111,Product1111,Category20,284
1112,Product1112,Category30,194
1113,Product1113,Category71,96
1114,Product1114,Category73,237
1115,Product1115,Category29,135
1116,Product1116,Electronics,450
1117,Product1117,Grocery,129
1118,Product1118,Category28,162
1119,Product1119,Category58,126
1120,Product1120,Baby,317
1121,Product1121,Category66,360
1122,Product1122,Category51,339
1123,Product1123,Electronics,429
1124,Product1124,Electronics,115
1125,Product1125,Category78,121
1126,Product1126,Category76,426
1127,Product1127,Category80,495
