id:INT,customer_id:INT,total:DOUBLE,year:INT,status:STRING
85,176,923.16,2024,completed
86,360,353.06,2021,cancelled
87,331,327.54,2024,refunded
88,57,340.40,2020,cancelled
89,432,363.64,2022,pending
90,58,212.59,2024,pending
91,254,932.84,2024,pending
92,143,41.80,2024,pending
93,206,328.76,2022,refunded
94,138,969.66,2024,cancelled
95,223,421.02,2024,completed
96,126,497.80,2021,cancelled
97,59,809.86,2023,refunded
98,209,664.90,2021,completed
99,237,382.95,2022,completed
100,218,145.14,2020,completed
101,420,233.21,2021,refunded
102,200,768.83,2021,completed
103,426,782.12,2024,refunded
104,340,473.76,2023,refunded
105,207,613.53,2021,cancelled
106,432,888.06,2024,cancelled
107,39,98.00,2024,completed
108,445,887.63,2021,pending
109,118,946.89,2020,completed
110,305,557.93,2024,completed
111,469,377.41,2023,completed
112,216,732.49,2023,refunded
113,353,982.09,2024,completed
114,194,858.56,2021,pending
115,413,570.60,2022,completed
116,484,187.31,2020,completed
117,108,885.85,2024,refunded
118,317,499.43,2021,cancelled
119,153,376.79,2020,completed
120,106,734.32,2024,cancelled
121,388,140.11,2024,refunded
122,476,770.13,2022,completed
123,8,316.89,2024,completed
124,318,724.02,2024,completed
125,185,254.18,2021,completed
126,486,730.78,2020,pending
127,141,514.89,2022,completed
128,356,515.64,2023,cancelled
129,279,595.48,2024,cancelled
130,77,43.38,2023,cancelled
131,250,501.60,2021,pending
132,406,673.11,2020,cancelled
133,296,746.58,2020,cancelled
134,319,28.83,2021,completed
135,165,557.24,2021,cancelled
136,103,650.57,2023,completed
137,179,387.71,2020,pending
138,166,722.70,2020,cancelled
139,58,852.14,2024,completed
140,83,975.69,2020,refunded
141,291,805.64,2022,completed
142,477,736.79,2024,refunded
143,106,478.66,2023,completed
144,16,31.52,2020,pending
145,429,429.20,2021,cancelled
146,275,874.90,2024,completed
147,395,361.95,2021,cancelled
148,298,830.82,2020,pending
149,289,543.30,2020,completed
150,33,836.60,2020,refunded
151,72,757.55,2022,completed
152,453,814.62,2020,refunded
153,190,254.57,2020,completed
154,302,993.70,2021,cancelled
155,400,293.83,2022,completed
156,111,116.74,2021,refunded
157,446,169.59,2024,completed
158,357,554.78,2021,completed
159,44,895.37,2020,completed
160,401,689.65,2021,completed
161,85,346.87,2021,completed
162,306,809.32,2023,refunded
163,1,244.74,2023,refunded
164,316,174.32,2021,completed
165,334,896.75,2020,completed
166,8,90.97,2023,cancelled
167,346,369.21,2020,pending
168,435,553.20,2020,completed
169,27,548.53,2021,refunded
170,196,294.53,2020,completed
171,31,313.93,2020,completed
172,417,86.44,2022,completed
173,459,890.82,2024,pending
174,100,906.91,2023,completed
175,30,903.17,2024,completed
176,154,31.95,2020,refunded
177,302,508.69,2020,cancelled
178,110,994.98,2022,completed
179,27,764.76,2024,completed
180,374,613.31,2022,refunded
181,67,280.91,2021,completed
182,219,379.70,2023,completed
183,254,943.47,2023,refunded
184,297,902.14,2020,cancelled
185,37,378.84,2023,completed
186,148,501.47,2023,completed
187,383,657.62,2022,completed
188,326,164.60,2020,cancelled
189,360,282.60,2021,completed
190,253,485.36,2021,completed
191,353,75.53,2021,completed
192,94,881.44,2021,pending
193,336,142.69,2022,completed
194,127,409.43,2024,refunded
195,350,383.39,2023,completed
196,496,407.66,2021,refunded
197,244,410.37,2023,cancelled
198,33,378.51,2022,completed
199,376,227.14,2024,completed
200,197,282.53,2023,pending
201,194,565.24,2022,cancelled
202,378,604.38,2022,cancelled
203,103,712.28,2022,completed
204,146,833.30,2024,refunded
205,339,150.78,2020,completed
206,471,705.49,2024,completed
207,57,197.84,2021,completed
208,256,453.76,2022,cancelled
209,325,865.47,2023,completed
210,61,890.43,2021,refunded
211,254,67.87,2021,pending
212,318,679.91,2020,completed
213,179,402.20,2024,cancelled
214,228,461.79,2024,refunded
215,480,514.35,2023,completed
216,244,135.67,2022,refunded
217,489,156.82,2022,completed
218,214,295.58,2021,pending
219,130,305.01,2023,completed
220,368,766.16,2020,completed
221,484,820.81,2021,cancelled
222,180,419.56,2023,cancelled
223,98,86.86,2024,completed
224,260,369.31,2022,completed
225,421,78.64,2023,refunded
226,147,223.29,2023,completed
227,16,13.03,2022,completed
228,229,306.96,2024,cancelled
229,181,421.89,2022,completed
230,154,557.90,2020,completed
231,114,965.40,2021,completed
232,451,971.94,2024,completed
233,460,401.87,2020,completed
234,139,543.63,2022,completed
235,207,97.62,2024,completed
236,310,186.01,2022,completed
237,73,190.86,2024,pending
238,43,981.04,2023,completed
239,130,175.29,2020,completed
240,407,138.61,2023,completed
241,398,558.12,2022,refunded
242,488,380.32,2024,completed
243,10,497.76,2021,pending
244,110,475.76,2021,completed
245,253,343.87,2020,cancelled
246,283,318.92,2024,refunded
247,182,932.73,2022,cancelled
248,499,205.26,2021,pending
249,63,762.56,2020,refunded
250,415,851.04,2020,completed
251,35,238.81,2024,completed
252,365,615.69,2020,cancelled
253,127,337.62,2020,pending
254,205,224.26,2024,completed
255,16,216.49,2020,completed
256,114,46.41,2020,pending
257,378,730.89,2024,completed
258,49,696.88,2022,completed
259,73,138.35,2021,pending
260,62,894.97,2023,refunded
261,90,578.78,2020,completed
262,318,687.13,2022,completed
263,366,751.53,2020,completed
264,429,876.08,2020,completed
265,78,615.44,2024,pending
266,186,487.97,2021,cancelled
267,66,839.43,2022,pending
268,96,736.19,2021,completed
269,128,102.82,2021,completed
270,291,937.25,2020,completed
271,197,85.82,2024,completed
272,83,497.89,2022,completed
273,320,39.66,2020,pending
274,396,510.67,2024,cancelled
275,428,19.23,2023,completed
276,407,739.15,2021,completed
277,156,399.22,2022,refunded
278,460,883.45,2023,completed
279,209,72.53,2022,cancelled
280,109,132.90,2020,completed
281,63,403.72,2020,cancelled
282,21,903.43,2020,completed
283,16,517.05,2020,completed
284,290,322.51,2022,cancelled
285,168,250.60,2023,cancelled
286,479,417.84,2020,pending
287,293,713.18,2020,cancelled
288,116,907.98,2021,cancelled
289,227,319.27,2021,cancelled
290,303,825.73,2023,completed
291,420,475.02,2023,completed
292,308,997.31,2024,completed
293,69,131.11,2023,completed
294,426,847.89,2024,completed
295,134,378.47,2020,refunded
296,444,365.37,2022,pending
297,136,883.18,2020,completed
298,487,728.98,2024,completed
299,479,464.20,2020,cancelled
300,76,193.19,2021,completed
301,170,375.93,2020,cancelled
302,89,229.28,2020,refunded
303,42,883.56,2023,completed
304,326,197.16,2021,completed
305,18,981.30,2022,completed
306,168,689.40,2023,completed
307,391,265.91,2023,pending
308,198,125.13,2022,completed
309,441,738.57,2023,pending
310,477,137.28,2024,completed
311,130,402.79,2020,pending
312,83,786.56,2021,completed
313,407,325.30,2024,completed
314,276,548.89,2023,completed
315,299,143.36,2021,cancelled
316,299,452.76,2021,completed
317,234,722.20,2021,completed
318,231,393.24,2022,completed
319,190,135.53,2024,completed
320,348,532.51,2020,completed
321,45,639.51,2024,completed
322,371,18.33,2024,completed
323,26,273.94,2023,completed
324,479,913.18,2023,cancelled
325,482,780.62,2020,completed
326,405,23.72,2020,completed
327,427,942.96,2023,completed
328,123,727.92,2024,completed
329,236,555.78,2022,pending
330,359,340.23,2020,completed
331,369,176.71,2024,completed
332,207,707.99,2021,pending
333,374,470.18,2021,pending
334,108,761.97,2024,pending
335,184,790.24,2022,completed
336,364,853.00,2022,pending
337,123,26.79,2022,completed
338,490,764.76,2024,cancelled
339,31,640.93,2023,completed
340,463,765.21,2022,cancelled
341,213,965.85,2024,completed
342,210,343.11,2020,completed
343,309,668.75,2022,cancelled
344,17,912.28,2022,cancelled
345,387,291.75,2022,completed
346,484,672.21,2022,completed
347,161,955.03,2024,refunded
348,438,712.48,2023,completed
349,177,785.34,2024,cancelled
350,456,485.56,2023,completed
351,1,662.37,2022,completed
352,47,630.83,2024,pending
353,208,340.23,2024,completed
354,249,55.81,2024,refunded
355,451,725.20,2021,pending
356,31,805.33,2020,refunded
357,109,459.74,2021,pending
358,179,73.68,2021,completed
359,437,129.63,2023,completed
360,259,807.47,2020,pending
361,445,317.94,2021,completed
362,284,394.62,2021,pending
363,228,537.11,2024,completed
364,237,512.42,2021,refunded
365,275,861.62,2022,completed
366,252,15.97,2023,completed
367,208,641.61,2023,completed
368,472,551.02,2021,pending
369,81,127.28,2023,pending
370,34,57.56,2022,cancelled
371,481,371.86,2023,completed
372,274,958.39,2023,completed
373,171,129.68,2020,completed
374,69,948.55,2022,completed
375,264,272.40,2020,completed
376,301,443.53,2020,refunded
377,220,494.98,2023,completed
378,97,632.74,2022,completed
379,109,364.30,2024,cancelled
380,407,672.63,2020,cancelled
381,298,240.05,2023,completed
382,40,816.17,2024,cancelled
383,423,757.39,2023,completed
384,105,226.25,2023,refunded
385,157,162.00,2022,cancelled
386,344,950.38,2021,refunded
387,456,37.47,2021,refunded
388,103,479.37,2021,cancelled
389,468,719.40,2024,completed
390,455,956.50,2023,cancelled
391,153,640.52,2023,pending
392,194,527.96,2020,pending
393,196,176.19,2022,completed
394,431,712.06,2022,completed
395,107,430.07,2023,completed
396,217,77.03,2021,refunded
397,436,330.71,2020,pending
398,458,230.19,2021,completed
399,179,703.61,2022,refunded
400,282,266.40,2023,cancelled
401,53,683.42,2023,completed
402,213,104.40,2021,completed
403,138,530.72,2021,completed
404,458,146.10,2020,completed
405,446,235.48,2024,completed
406,200,821.93,2020,pending
407,214,885.90,2023,refunded
408,248,365.07,2021,cancelled
409,59,853.15,2023,pending
410,8,81.96,2020,completed
411,195,776.50,2020,refunded
412,457,465.69,2020,completed
413,445,329.25,2024,completed
414,279,833.41,2022,completed
415,99,490.85,2024,cancelled
416,417,268.05,2021,completed
417,461,666.80,2021,completed
418,261,748.11,2021,pending
419,361,430.54,2024,refunded
420,389,501.50,2020,refunded
421,212,191.47,2024,completed
422,314,730.53,2021,completed
423,73,437.57,2020,cancelled
424,82,529.65,2020,cancelled
425,449,59.92,2022,completed
426,113,697.40,2020,refunded
427,404,240.40,2021,completed
428,329,273.03,2021,completed
429,136,174.44,2024,refunded
430,15,293.49,2021,completed
431,171,871.33,2021,pending
432,491,985.80,2024,completed
433,384,345.03,2020,refunded
434,444,357.79,2024,cancelled
435,293,151.54,2021,refunded
436,188,244.19,2022,completed
437,407,265.72,2020,completed
438,396,925.98,2024,completed
439,392,200.96,2023,completed
440,122,377.44,2020,completed
441,122,139.32,2020,completed
442,440,224.87,2021,completed
443,160,287.58,2023,cancelled
444,333,929.91,2024,completed
445,239,527.52,2023,cancelled
446,245,654.68,2023,completed
447,268,490.00,2022,completed
448,55,861.70,2024,completed
449,409,317.59,2022,completed
450,125,546.09,2021,refunded
451,465,484.54,2024,completed
452,276,341.35,2022,completed
453,325,390.42,2021,completed
454,372,396.74,2023,refunded
455,282,809.25,2023,cancelled
456,345,165.89,2021,cancelled
457,371,914.86,2024,completed
458,424,896.42,2022,refunded
459,335,19.86,2022,cancelled
460,144,204.71,2022,refunded
461,223,787.98,2023,pending
462,365,987.70,2021,refunded
463,129,45.11,2021,completed
464,10,567.33,2020,completed
465,463,874.70,2024,cancelled
466,250,779.81,2023,refunded
467,376,995.17,2022,completed
468,47,151.58,2024,completed
469,391,538.52,2024,completed
470,299,169.11,2020,cancelled
471,41,97.46,2020,pending
472,1,596.90,2023,cancelled
473,353,762.97,2020,completed
474,189,348.02,2021,completed
475,351,288.06,2023,completed
476,375,363.92,2022,completed
477,335,558.25,2020,pending
478,495,289.48,2020,cancelled
479,352,707.10,2023,cancelled
480,290,20.65,2023,completed
481,367,13.89,2020,pending
482,329,388.58,2024,completed
483,83,93.03,2020,pending
484,469,847.65,2020,completed
485,49,81.47,2023,cancelled
486,108,304.51,2022,refunded
487,454,513.51,2022,cancelled
488,52,556.48,2022,completed
489,495,125.63,2022,cancelled
490,325,774.30,2020,completed
491,108,572.73,2024,pending
492,271,893.94,2022,completed
493,81,12.41,2024,refunded
494,112,145.95,2022,cancelled
495,233,612.88,2023,refunded
496,198,885.39,2022,completed
497,496,107.79,2020,pending
498,289,930.32,2023,completed
499,326,18.09,2021,completed
500,81,126.54,2020,pending
501,118,351.91,2024,completed
502,93,232.01,2023,cancelled
503,127,928.91,2020,cancelled
504,432,915.55,2024,completed
505,118,424.36,2022,completed
506,356,627.42,2021,completed
507,56,971.04,2023,cancelled
508,238,167.27,2022,pending
509,335,852.56,2020,refunded
510,225,897.73,2023,pending
511,326,438.85,2024,completed
512,260,556.30,2020,completed
513,332,915.14,2024,refunded
514,76,252.56,2024,pending
515,260,469.09,2023,pending
516,315,486.33,2024,cancelled
517,305,567.96,2020,refunded
518,171,356.73,2022,pending
519,482,544.50,2023,completed
520,201,161.57,2024,completed
521,53,132.51,2020,completed
522,287,286.58,2020,completed
523,367,203.96,2020,completed
524,493,756.05,2024,completed
525,435,279.11,2024,refunded
526,48,920.61,2022,completed
527,264,965.60,2024,completed
528,201,653.40,2022,completed
529,195,276.71,2024,pending
530,351,268.92,2024,completed
531,322,793.07,2022,cancelled
532,402,484.01,2024,cancelled
533,495,60.10,2023,refunded
534,477,433.16,2023,cancelled
535,272,491.32,2024,cancelled
536,144,992.71,2021,completed
537,8,407.22,2020,refunded
538,495,813.52,2024,completed
539,51,867.26,2020,completed
540,80,522.35,2022,pending
541,172,885.80,2023,cancelled
542,178,550.61,2024,refunded
543,185,882.67,2023,pending
544,411,770.39,2022,cancelled
545,353,300.14,2020,pending
546,396,207.87,2020,completed
547,261,950.79,2021,completed
548,314,693.76,2022,completed
549,170,377.12,2023,cancelled
550,234,760.96,2020,completed
551,401,86.48,2023,completed
552,254,208.17,2024,refunded
553,292,130.46,2022,completed
554,478,725.90,2022,refunded
555,200,459.55,2021,completed
556,233,773.91,2022,cancelled
557,14,663.71,2024,completed
558,175,977.07,2022,completed
559,19,295.65,2024,completed
560,240,867.89,2024,refunded
561,214,434.94,2024,completed
562,270,635.51,2021,refunded
563,39,806.43,2020,refunded
564,316,326.58,2022,refunded
565,348,546.25,2023,pending
566,316,492.39,2021,cancelled
567,418,882.19,2022,cancelled
568,391,846.78,2024,cancelled
569,353,811.67,2021,refunded
570,309,148.85,2020,completed
571,73,991.36,2022,completed
572,409,426.48,2022,refunded
573,242,457.53,2024,cancelled
574,218,680.33,2023,pending
575,497,382.60,2020,pending
576,110,416.97,2022,completed
577,356,279.01,2024,completed
578,269,594.13,2024,completed
579,320,771.67,2024,pending
580,35,921.52,2023,completed
581,274,155.00,2024,cancelled
582,299,318.41,2022,completed
583,38,669.47,2024,completed
584,189,29.12,2024,refunded
585,105,814.95,2021,completed
586,26,471.93,2024,pending
587,138,385.62,2022,cancelled
588,493,95.99,2022,pending
589,247,389.53,2022,refunded
590,325,57.15,2020,refunded
591,173,528.48,2022,completed
592,272,493.92,2021,completed
593,135,29.15,2020,cancelled
594,220,853.98,2021,cancelled
595,53,367.57,2022,completed
596,7,342.70,2023,completed
597,277,188.29,2021,cancelled
598,442,277.23,2020,completed
599,429,376.31,2024,refunded
600,358,714.29,2021,pending
601,220,508.77,2023,completed
602,233,521.61,2022,completed
603,326,285.90,2021,completed
604,129,571.98,2024,completed
605,362,155.60,2020,cancelled
606,137,221.80,2020,completed
607,203,651.09,2024,cancelled
608,338,288.66,2020,refunded
609,222,378.37,2023,cancelled
610,8,28.46,2022,refunded
611,81,116.13,2022,completed
612,176,314.12,2024,completed
613,266,693.24,2022,cancelled
614,391,659.89,2023,cancelled
615,116,17.42,2024,pending
616,126,999.90,2021,pending
617,143,887.78,2020,pending
618,179,87.65,2020,completed
619,137,172.84,2021,cancelled
620,267,523.29,2022,completed
621,447,844.01,2020,cancelled
622,318,322.62,2020,completed
623,104,801.64,2022,completed
624,344,194.99,2023,pending
625,435,791.58,2020,completed
626,159,29.28,2024,refunded
627,219,222.45,2024,pending
628,393,298.29,2020,completed
629,123,179.08,2024,completed
630,177,843.28,2023,refunded
631,430,17.64,2023,completed
632,171,966.53,2024,pending
633,1,853.97,2020,completed
634,132,614.83,2022,pending
635,202,92.88,2021,pending
636,352,722.39,2022,completed
637,395,288.61,2020,refunded
638,371,668.22,2023,completed
639,52,362.18,2020,cancelled
640,486,457.38,2020,refunded
641,410,404.12,2021,completed
642,231,880.08,2023,refunded
643,455,778.47,2021,completed
644,444,76.32,2021,completed
645,70,315.15,2023,completed
646,288,413.23,2023,completed
647,213,127.88,2024,completed
648,106,956.72,2020,refunded
649,150,987.44,2021,refunded
650,74,77.71,2020,completed
651,386,469.32,2024,completed
652,52,90.47,2023,cancelled
653,453,46.05,2021,completed
654,496,175.49,2023,cancelled
655,139,428.82,2022,completed
656,191,536.17,2023,completed
657,87,196.41,2023,completed
658,10,949.14,2020,completed
659,31,287.13,2021,completed
660,351,739.22,2023,completed
661,440,654.03,2024,completed
662,367,804.89,2023,cancelled
663,361,609.87,2020,completed
664,406,583.04,2022,refunded
665,196,64.81,2023,refunded
666,379,480.89,2024,completed
667,335,541.56,2024,completed
668,443,48.72,2024,completed
669,46,650.58,2020,pending
670,27,290.32,2023,completed
671,153,256.07,2022,cancelled
672,267,608.06,2022,completed
673,52,989.57,2021,pending
674,489,836.25,2023,pending
675,439,790.68,2022,completed
676,91,963.50,2020,completed
677,65,862.29,2021,completed
678,481,594.84,2024,completed
679,406,16.54,2023,completed
680,365,585.32,2024,refunded
681,157,925.09,2024,cancelled
682,304,208.72,2022,pending
683,312,592.51,2021,completed
684,439,95.90,2024,pending
685,489,944.43,2021,refunded
686,396,469.33,2022,completed
687,336,599.51,2023,refunded
688,4,933.63,2024,pending
689,201,558.58,2023,completed
690,321,369.49,2024,refunded
691,495,731.08,2024,pending
692,242,396.34,2022,completed
693,219,88.19,2023,completed
694,240,860.49,2021,completed
695,227,679.10,2021,refunded
696,307,68.65,2024,cancelled
697,342,645.06,2021,pending
698,419,438.07,2023,completed
699,396,399.98,2022,refunded
700,167,874.61,2023,completed
701,222,266.33,2021,cancelled
702,173,618.60,2022,completed
703,258,294.09,2024,completed
704,52,849.89,2024,completed
705,488,246.11,2022,completed
706,181,886.16,2023,completed
707,384,622.14,2024,refunded
708,170,486.77,2022,completed
709,281,377.69,2021,completed
710,153,341.16,2023,refunded
711,51,452.14,2021,pending
712,379,131.14,2020,completed
713,261,148.13,2021,completed
714,162,705.43,2024,cancelled
715,459,148.97,2022,completed
716,196,490.31,2022,refunded
717,382,69.93,2024,refunded
718,30,843.25,2024,completed
719,349,746.50,2024,completed
720,469,887.26,2022,completed
721,475,545.43,2024,pending
722,88,979.30,2020,refunded
723,282,872.58,2020,pending
724,110,196.89,2021,completed
725,165,492.92,2022,completed
726,118,797.96,2022,pending
727,272,215.79,2021,refunded
728,69,83.58,2021,completed
729,105,133.32,2020,completed
730,177,853.95,2020,completed
731,43,462.45,2021,completed
732,439,262.74,2023,completed
733,489,816.49,2023,completed
734,342,476.25,2023,completed
735,65,796.99,2022,completed
736,430,535.43,2021,refunded
737,158,771.15,2023,cancelled
738,441,289.59,2021,completed
739,333,67.62,2021,completed
740,88,458.97,2023,cancelled
741,108,752.07,2020,cancelled
742,181,493.17,2021,completed
743,452,768.05,2020,completed
744,463,506.74,2023,completed
745,416,960.43,2022,completed
746,468,825.81,2021,pending
747,154,698.81,2023,cancelled
748,141,791.91,2022,cancelled
749,397,795.50,2023,pending
750,293,750.31,2024,completed
751,320,138.37,2021,completed
752,21,253.13,2024,completed
753,461,85.39,2022,completed
754,181,604.81,2020,pending
755,461,724.34,2024,completed
756,417,401.29,2023,pending
757,338,238.45,2024,refunded
758,497,195.35,2022,completed
759,483,834.02,2024,pending
760,190,197.09,2024,refunded
761,295,12.83,2022,pending
762,148,860.35,2023,completed
763,404,801.49,2023,cancelled
764,346,567.15,2020,completed
765,198,230.66,2020,pending
766,34,858.70,2021,pending
767,367,534.13,2021,completed
768,55,839.81,2024,cancelled
769,481,979.65,2020,refunded
770,222,76.39,2024,completed
771,431,991.85,2023,cancelled
772,488,830.23,2024,completed
773,75,314.90,2023,cancelled
774,355,944.74,2024,refunded
775,470,784.19,2022,completed
776,97,375.51,2023,completed
777,36,88.06,2020,completed
778,497,191.41,2023,completed
779,227,57.80,2021,completed
780,33,364.70,2023,pending
781,407,893.66,2022,refunded
782,232,393.62,2023,completed
783,392,452.36,2021,pending
784,375,637.70,2021,completed
785,13,98.40,2023,cancelled
786,354,346.65,2020,cancelled
787,262,155.08,2022,completed
788,81,125.83,2022,completed
789,335,17.61,2024,completed
790,192,851.41,2023,refunded
791,474,468.38,2021,cancelled
792,345,470.55,2022,completed
793,280,936.20,2020,cancelled
794,98,585.29,2023,completed
795,107,131.51,2022,cancelled
796,43,842.55,2022,cancelled
797,240,639.96,2021,completed
798,51,918.86,2022,refunded
799,464,797.68,2024,completed
800,89,136.30,2022,completed
801,125,961.17,2023,pending
802,271,457.65,2022,completed
803,299,687.69,2024,pending
804,197,542.87,2022,completed
805,13,251.81,2023,cancelled
806,91,13.30,2021,completed
807,186,865.86,2023,cancelled
808,87,619.39,2020,completed
809,176,94.64,2022,completed
810,287,267.35,2022,completed
811,253,23.75,2024,cancelled
812,268,722.93,2023,cancelled
813,472,191.51,2024,completed
814,450,867.09,2023,refunded
815,106,802.26,2021,cancelled
816,419,262.77,2022,pending
817,322,895.93,2023,completed
818,7,651.66,2021,completed
819,10,982.06,2024,completed
820,311,767.29,2022,pending
821,36,771.50,2022,refunded
822,63,246.03,2023,pending
823,16,896.28,2024,cancelled
824,157,652.87,2020,refunded
825,161,875.93,2021,completed
826,194,543.51,2020,completed
827,422,445.83,2023,refunded
828,421,325.83,2023,pending
829,148,813.47,2024,completed
830,415,336.53,2020,completed
831,289,205.29,2021,pending
832,430,215.33,2022,completed
833,68,840.34,2021,pending
834,497,960.16,2022,completed
835,374,844.76,2020,completed
836,18,950.51,2020,completed
837,143,759.22,2023,cancelled
838,11,906.78,2023,completed
839,60,49.85,2022,refunded
840,304,914.92,2024,completed
841,368,96.03,2023,completed
842,231,687.36,2021,completed
843,392,936.59,2023,completed
844,313,159.69,2024,cancelled
845,164,610.82,2020,completed
846,395,881.83,2020,completed
847,356,625.15,2020,completed
848,450,132.03,2024,completed
849,255,400.23,2021,cancelled
850,69,155.60,2021,completed
851,89,965.19,2023,completed
852,430,281.94,2020,cancelled
853,128,846.35,2024,pending
854,148,757.16,2020,pending
855,471,750.80,2020,refunded
856,199,540.63,2023,completed
857,309,992.36,2022,completed
858,107,878.72,2022,completed
859,325,549.14,2021,refunded
860,169,311.46,2021,completed
861,368,42.57,2020,completed
862,45,279.12,2024,cancelled
863,405,989.27,2020,completed
864,122,355.32,2020,cancelled
865,65,45.44,2024,completed
866,200,96.96,2021,completed
867,251,485.85,2021,refunded
868,463,444.60,2023,completed
869,11,842.96,2021,pending
870,355,630.85,2021,completed
871,268,502.20,2021,completed
872,249,924.48,2023,completed
873,63,751.36,2023,completed
874,226,108.34,2023,refunded
875,484,101.35,2022,completed
876,49,688.54,2023,completed
877,81,615.76,2024,refunded
878,409,133.10,2021,cancelled
879,432,217.17,2022,completed
880,163,106.64,2022,pending
881,468,855.84,2020,pending
882,390,804.99,2023,completed
883,325,19.29,2021,pending
884,500,466.45,2022,refunded
885,493,329.24,2023,completed
886,61,950.61,2022,refunded
887,303,304.36,2023,completed
888,94,403.45,2024,pending
889,169,936.40,2023,completed
890,453,522.85,2022,completed
891,353,435.76,2024,pending
892,154,429.94,2023,completed
893,222,794.70,2024,completed
894,386,482.25,2020,completed
895,45,75.84,2024,completed
896,294,628.09,2023,refunded
897,426,373.34,2024,completed
898,336,861.75,2022,refunded
899,424,280.10,2023,cancelled
900,357,603.23,2021,completed
901,91,327.48,2022,completed
902,483,844.44,2023,completed
903,67,738.90,2020,completed
904,384,787.92,2021,completed
905,409,454.85,2024,refunded
906,228,301.36,2024,cancelled
907,440,390.19,2024,refunded
908,191,369.28,2022,refunded
909,292,922.80,2022,pending
910,25,513.78,2024,completed
911,436,81.57,2022,completed
912,295,114.42,2020,refunded
913,482,261.39,2022,pending
914,125,784.92,2022,pending
915,259,353.98,2020,refunded
916,431,284.47,2021,refunded
917,482,60.89,2021,completed
918,103,81.18,2020,completed
919,238,919.11,2023,completed
920,291,911.50,2021,completed
921,35,789.29,2020,pending
922,20,630.60,2021,completed
923,385,327.23,2024,completed
924,80,523.62,2024,completed
925,387,744.64,2021,refunded
926,233,73.03,2020,completed
927,489,734.22,2024,cancelled
928,253,588.41,2022,completed
929,237,49.11,2020,cancelled
930,478,516.92,2024,completed
931,374,115.21,2022,refunded
932,16,827.85,2023,pending
933,300,237.42,2021,refunded
934,433,481.41,2021,completed
935,97,686.92,2020,refunded
936,48,74.01,2023,completed
937,185,709.05,2024,completed
938,371,363.38,2021,pending
939,259,863.20,2024,completed
940,57,214.30,2022,pending
941,476,506.29,2021,refunded
942,408,274.64,2020,pending
943,32,968.26,2021,completed
944,97,431.66,2024,refunded
945,451,107.69,2023,pending
946,398,601.76,2023,refunded
947,144,330.14,2020,completed
948,475,639.68,2024,completed
949,142,458.74,2020,cancelled
950,206,160.49,2021,completed
951,165,534.39,2023,pending
952,430,366.01,2022,pending
953,363,582.60,2024,completed
954,424,802.70,2024,refunded
955,188,386.03,2022,pending
956,447,320.31,2024,refunded
957,9,594.67,2020,completed
958,123,417.47,2022,cancelled
959,80,118.64,2020,completed
960,106,156.34,2020,cancelled
961,225,137.83,2020,cancelled
