id:INT,name:STRING,country:STRING,age:INT
294,Customer294,DE,19
295,Customer295,BR,38
296,Customer296,IN,23
297,Customer297,JP,23
298,Customer298,JP,78
299,Customer299,BR,64
300,Customer300,CN,19
301,Customer301,JP,50
302,Customer302,CN,31
303,Customer303,CN,41
304,Customer304,GB,25
305,Customer305,PL,38
306,Customer306,IT,25
307,Customer307,US,43
308,Customer308,FR,72
309,Customer309,RU,57
310,Customer310,CN,69
311,Customer311,CN,46
312,Customer312,US,71
313,Customer313,BR,60
314,Customer314,CN,64
315,Customer315,JP,73
316,Customer316,JP,31
317,Customer317,EG,72
318,Customer318,FR,28
319,Customer319,MX,25
320,Customer320,US,65
321,Customer321,GB,71
322,Customer322,MX,75
323,Customer323,FR,80
324,Customer324,IN,18
325,Customer325,FR,27
326,Customer326,IN,20
327,Customer327,MX,40
328,Customer328,JP,33
329,Customer329,CN,68
330,Customer330,JP,70
331,Customer331,NG,32
332,Customer332,FR,54
333,Customer333,JP,64
334,Customer334,JP,20
335,Customer335,CN,78
336,Customer336,NG,57
337,Customer337,FR,77
338,Customer338,JP,25
339,Customer339,GB,76
340,Customer340,IT,23
341,Customer341,IN,25
342,Customer342,CN,76
343,Customer343,JP,48
344,Customer344,FR,69
345,Customer345,KR,51
346,Customer346,IN,62
347,Customer347,BR,18
348,Customer348,ES,79
349,Customer349,BR,51
350,Customer350,IN,61
351,Customer351,FR,56
352,Customer352,FR,22
353,Customer353,JP,51
354,Customer354,PK,28
355,Customer355,BR,55
356,Customer356,DE,28
357,Customer357,JP,21
358,Customer358,FR,35
359,Customer359,IN,34
360,Customer360,BR,65
361,Customer361,DE,52
362,Customer362,US,41
363,Customer363,SE,57
364,Customer364,US,52
365,Customer365,TR,55
366,Customer366,JP,66
367,Customer367,FR,19
368,Customer368,IN,75
369,Customer369,US,32
370,Customer370,GB,20
371,Customer371,CA,66
372,Customer372,DE,26
373,Customer373,GB,66
374,Customer374,CN,40
375,Customer375,DE,35
376,Customer376,KR,26
377,Customer377,MX,55
378,Customer378,PK,18
379,Customer379,IN,55
380,Customer380,JP,74
381,Customer381,GB,69
382,Customer382,JP,71
383,Customer383,JP,38
384,Customer384,BR,48
385,Customer385,ID,27
386,Customer386,DE,42
387,Customer387,IN,67
388,Customer388,BR,79
389,Customer389,JP,80
390,Customer390,US,20
391,Customer391,IN,47
392,Customer392,MX,37
393,Customer393,DE,40
394,Customer394,RU,51
395,Customer395,MX,46
396,Customer396,NG,23
397,Customer397,SE,75
398,Customer398,BR,45
399,Customer399,US,25
400,Customer400,FR,56
401,Customer401,JP,40
402,Customer402,FR,66
403,Customer403,SE,59
404,Customer404,CN,80
405,Customer405,FR,48
406,Customer406,IN,79
407,Customer407,IN,46
408,Customer408,FR,71
409,Customer409,EG,69
410,Customer410,US,33
411,Customer411,ES,44
412,Customer412,FR,74
413,Customer413,BR,62
414,Customer414,FR,63
415,Customer415,FR,78
416,Customer416,GB,46
417,Customer417,EG,27
418,Customer418,IN,31
419,Customer419,IN,18
420,Customer420,FR,31
421,Customer421,IN,52
422,Customer422,GB,66
423,Customer423,IN,74
424,Customer424,NL,68
425,Customer425,JP,80
426,Customer426,US,65
427,Customer427,FR,38
428,Customer428,JP,27
429,Customer429,GB,22
430,Customer430,JP,26
431,Customer431,CN,49
432,Customer432,BR,23
433,Customer433,NL,67
434,Customer434,SE,73
435,Customer435,NL,47
436,Customer436,IN,61
437,Customer437,US,54
438,Customer438,ES,65
439,Customer439,BR,51
440,Customer440,DE,57
441,Customer441,CN,57
442,Customer442,CN,41
443,Customer443,GB,75
444,Customer444,VN,27
445,Customer445,GB,24
446,Customer446,ES,25
447,Customer447,BR,67
448,Customer448,JP,57
449,Customer449,FR,25
450,Customer450,RU,44
451,Customer451,CA,38
452,Customer452,JP,63
453,Customer453,FR,18
454,Customer454,FR,33
455,Customer455,BR,37
456,Customer456,PK,32
457,Customer457,CN,30
458,Customer458,KR,39
459,Customer459,GB,79
460,Customer460,FR,47
461,Customer461,DE,78
462,Customer462,CN,35
463,Customer463,JP,26
464,Customer464,CN,77
465,Customer465,IT,33
466,Customer466,CN,40
467,Customer467,BR,39
468,Customer468,FR,75
469,Customer469,JP,78
470,Customer470,BR,22
471,Customer471,NL,51
472,Customer472,DE,65
473,Customer473,GB,18
474,Customer474,GB,80
475,Customer475,US,43
476,Customer476,DE,29
477,Customer477,CN,72
478,Customer478,US,66
479,Customer479,US,47
480,Customer480,JP,49
481,Customer481,FR,52
482,Customer482,FR,60
483,Customer483,DE,47
484,Customer484,JP,63
485,Customer485,IN,20
486,Customer486,FR,60
487,Customer487,DE,42
488,Customer488,CN,67
489,Customer489,TR,69
490,Customer490,BR,76
491,Customer491,EG,75
492,Customer492,DE,72
493,Customer493,GB,18
494,Customer494,US,28
495,Customer495,CN,64
496,Customer496,VN,31
497,Customer497,CN,77
498,Customer498,DE,37
499,Customer499,FR,23
500,Customer500,US,58
